"node","M","N","category"
"CPOM",,,""
"FPOM",,,""
"Achnanthes elliptica",1.14974095058049e-13,290382205.861465,"producer"
"Achnanthes lanceolata",1.30767553892022e-12,2209784891.81603,"producer"
"Amphora ovalis",5.10740150357195e-11,59122120.1919045,"producer"
"Amphora pediculus",3.10598961990566e-13,4688241770.96598,"producer"
"Cymbella lanceolata",7.05504844050652e-10,9317427024.95007,"producer"
"Cymbella minuta",1.58818101429983e-12,22169198.9074767,"producer"
"Cocconeis placentula",3.69828179780266e-12,653386263.766551,"producer"
"Cymbella solea",6.53581875113075e-10,8002948.09160563,"producer"
"Diatoma vulgaris",3.42688870432787e-11,76628442.7719777,"producer"
"Fragilaria elliptica",1.66073370550406e-14,39678934.3618764,"producer"
"Fragilaria leptostauron",3.10598961990566e-13,27756199.4771652,"producer"
"Fragilaria vaucheriae",1.32281770800993e-11,270750956.773553,"producer"
"Gongrosira incrustans",1.58818101429983e-12,76102688591.3446,"producer"
"Gomphonema olivaceum",2.29350663044759e-13,582156833.927623,"producer"
"Melosira varians",3.16810815932805e-12,1937715440.89886,"producer"
"Nitzschia dissipata",8.352182974126e-12,653040325.559824,"producer"
"Navicula gregoria",5.68067574106773e-12,49309432.01353,"producer"
"Navicula lanceolata",5.10740150357195e-11,825638621.370636,"producer"
"Navicula menisculus",3.69828179780266e-12,1573801663.42317,"producer"
"Nitzschia perminuta",9.42106499588191e-12,108302878.609202,"producer"
"Navicula tripunctata",3.42688870432787e-11,138752239.025292,"producer"
"Surirella ovalis",4.94994074396934e-12,77113426.2813833,"producer"
"S. sp. 2",4.94994074396934e-12,9434524.13911922,"producer"
"Synedra ulva",9.74316371300451e-12,85703784.5230369,"producer"
"Agapetus fuscipes",0.174217503307033,128.000000000001,"invertebrate"
"Agapetus ochripes",0.136235319062986,110.222222222221,"invertebrate"
"Ancylus",0.972480292058664,12.4444444444445,"invertebrate"
"Baetis sp.",1.04804258334941,131.555555555557,"invertebrate"
"Caenis rivulorum",0.170726670211902,21.3333333333331,"invertebrate"
"Ceratopogonidae",0.138281649082138,30.222222222222,"invertebrate"
"Chironomidae",0.074864008761614,613.333333333327,"invertebrate"
"Dicranota sp.",1.54924269216724,32.0000000000003,"invertebrate"
"Ecclisopteryx gluttalata",3.77235127099667,69.3333333333335,"invertebrate"
"Elmis aenea Lv.",0.350318748840463,51.555555555556,"invertebrate"
"Ephemera danica",1.56803707967619,1.77777777777778,"invertebrate"
"Erpobdella",7.60240878476123,3.55555555555555,"invertebrate"
"Gammarus",2.47132865706299,1319.11111111112,"invertebrate"
"Glossiphonia",7.53664150605374,30.222222222222,"invertebrate"
"Gyrinidae undet. Lv.",1.23227570880576,10.6666666666666,"invertebrate"
"Heptagenia sulphurea",1.0288969517624,30.222222222222,"invertebrate"
"Hydracarina",0.190253071317837,10.6666666666666,"invertebrate"
"Hydropsyche pellucidula",1.240059867927,3.55555555555555,"invertebrate"
"Hydropsyche siltalai",1.16227890437128,42.6666666666671,"invertebrate"
"Isoperla grammatica",4.66337752068478,1.77777777777778,"invertebrate"
"Leuctra hippopus",0.124500364828886,1.77777777777778,"invertebrate"
"Limnius volckmari Lv.",0.361745372769268,5.33333333333333,"invertebrate"
"Odontocerum albicorne",5.24716099485197,3.55555555555555,"invertebrate"
"Oligochaetae",1.93013562150331,3.55555555555555,"invertebrate"
"Piscicola",18.2479801982845,10.6666666666666,"invertebrate"
"Pisidium",3.76257395232924,14.2222222222221,"invertebrate"
"Potamophylax rotundipennis",11.5561716258527,5.33333333333333,"invertebrate"
"Potamopyrgus",11.0095263519834,0.790123456790123,"invertebrate"
"Rhyacophila septentrionis",8.17327898423073,8.88888888888889,"invertebrate"
"Sericostoma personatum",4.67009780398067,14.2222222222221,"invertebrate"
"Serratella ignita",0.437090499001596,58.666666666667,"invertebrate"
"Silo nigricornis",3.77235127099667,69.3333333333335,"invertebrate"
"Simuliidae gra",0.18013791280583,122.666666666668,"invertebrate"
"Tanypodinae",0.18922336068194,1.77777777777778,"invertebrate"
"Gasterosteus",4.25000068452677,0.00517070784515988,"vert.ecto"
"Lampetra planeri",6.78667418405747,0.0387801960243506,"vert.ecto"
"Salmo trutta",17.2250305167981,0.106000032885374,"vert.ecto"
"Anguilla anguilla",177.999999053676,0.0129267693547766,"vert.ecto"
"Cottus gobio",0.809037588999151,16.7001356961169,"vert.ecto"
"Phoxinus phoxinus",10.0999680512111,0.00258535389676763,"vert.ecto"
